Description,Category,Finance Type
₹3370.34 received via UPI from Swiggy,Restaurants,Receive
Debited ₹1394.84 at Water Dept,Utilities,Spend
₹229.09 received via UPI from KFC,Restaurants,Receive
₹6686.2 received via UPI from Infosys,Paycheck,Receive
Paid ₹1949.5 to Infosys,Paycheck,Spend
Paid ₹232.1 to Electric Board,Utilities,Spend
UPI payment of ₹2354.66 to Landlord,Rent,Spend
Debited ₹494.68 at Flipkart,Shopping,Spend
Paid ₹8675.99 to Landlord,Rent,Spend
Credited ₹1565.05 from Wipro,Paycheck,Receive
₹7009.25 received via UPI from Flipkart,Shopping,Receive
Credited ₹4443.71 from Swiggy,Restaurants,Receive
Debited ₹2597.9 at Domino's,Restaurants,Spend
Debited ₹3095.31 at Swiggy,Restaurants,Spend
Debited ₹2706.86 at Flipkart,Shopping,Spend
Received ₹2986.23 from Gas Agency,Utilities,Receive
Debited ₹825.93 at Wipro,Paycheck,Spend
Debited ₹4415.41 at Gas Agency,Utilities,Spend
Debited ₹1106.42 at KFC,Restaurants,Spend
Paid ₹2296.79 to Flipkart,Shopping,Spend
Credited ₹7788.7 from Flatmate,Rent,Receive
UPI payment of ₹9076.16 to Water Dept,Utilities,Spend
Credited ₹809.64 from Gas Agency,Utilities,Receive
UPI payment of ₹9272.26 to Electric Board,Utilities,Spend
Paid ₹9878.88 to Swiggy,Restaurants,Spend
UPI payment of ₹440.84 to TCS,Paycheck,Spend
UPI payment of ₹6102.37 to Flipkart,Shopping,Spend
Received ₹359.17 from Society,Rent,Receive
₹4890.16 received via UPI from Electric Board,Utilities,Receive
₹1656.98 received via UPI from KFC,Restaurants,Receive
UPI payment of ₹6014.84 to Gas Agency,Utilities,Spend
Paid ₹9007.41 to Amazon,Shopping,Spend
UPI payment of ₹3590.74 to Domino's,Restaurants,Spend
Paid ₹5526.9 to Electric Board,Utilities,Spend
UPI payment of ₹7373.79 to Flatmate,Rent,Spend
Credited ₹9393.05 from Flipkart,Shopping,Receive
UPI payment of ₹6840.14 to Swiggy,Restaurants,Spend
Credited ₹5681.39 from Amazon,Shopping,Receive
Credited ₹3676.82 from Amazon,Shopping,Receive
UPI payment of ₹9771.06 to Domino's,Restaurants,Spend
Credited ₹1079.76 from Domino's,Restaurants,Receive
₹5016.35 received via UPI from Wipro,Paycheck,Receive
Received ₹5904.13 from Water Dept,Utilities,Receive
UPI payment of ₹5702.68 to Infosys,Paycheck,Spend
Paid ₹1294.4 to Myntra,Shopping,Spend
Received ₹3289.68 from Electric Board,Utilities,Receive
Credited ₹3977.4 from Infosys,Paycheck,Receive
UPI payment of ₹6654.11 to Swiggy,Restaurants,Spend
Received ₹3612.77 from Society,Rent,Receive
Paid ₹9953.08 to Society,Rent,Spend
Paid ₹5257.49 to Amazon,Shopping,Spend
Credited ₹8915.77 from TCS,Paycheck,Receive
UPI payment of ₹2240.99 to KFC,Restaurants,Spend
Received ₹9329.21 from Society,Rent,Receive
Received ₹6077.3 from Domino's,Restaurants,Receive
Paid ₹1475.62 to Society,Rent,Spend
Paid ₹8688.84 to Water Dept,Utilities,Spend
Debited ₹416.76 at Infosys,Paycheck,Spend
UPI payment of ₹3629.82 to Infosys,Paycheck,Spend
Received ₹5609.71 from Wipro,Paycheck,Receive
Credited ₹9593.03 from KFC,Restaurants,Receive
₹5750.84 received via UPI from Water Dept,Utilities,Receive
Paid ₹8006.38 to Gas Agency,Utilities,Spend
₹3366.03 received via UPI from Society,Rent,Receive
Received ₹5157.17 from TCS,Paycheck,Receive
Credited ₹4493.33 from Landlord,Rent,Receive
₹5258.35 received via UPI from Myntra,Shopping,Receive
Credited ₹9950.22 from Myntra,Shopping,Receive
Debited ₹2575.92 at Flatmate,Rent,Spend
Credited ₹4123.52 from Myntra,Shopping,Receive
Paid ₹4836.15 to Amazon,Shopping,Spend
UPI payment of ₹2068.18 to Wipro,Paycheck,Spend
₹8264.49 received via UPI from Flatmate,Rent,Receive
Credited ₹5444.56 from Electric Board,Utilities,Receive
UPI payment of ₹5519.11 to TCS,Paycheck,Spend
Debited ₹6318.62 at Myntra,Shopping,Spend
Credited ₹9105.47 from Swiggy,Restaurants,Receive
Debited ₹1539.26 at Amazon,Shopping,Spend
Credited ₹5562.82 from TCS,Paycheck,Receive
Paid ₹885.99 to Myntra,Shopping,Spend
₹6242.6 received via UPI from Wipro,Paycheck,Receive
Debited ₹132.24 at Myntra,Shopping,Spend
Debited ₹868.71 at Society,Rent,Spend
Received ₹3740.11 from Amazon,Shopping,Receive
Paid ₹5043.76 to Swiggy,Restaurants,Spend
UPI payment of ₹5370.73 to Myntra,Shopping,Spend
Received ₹4969.75 from Society,Rent,Receive
UPI payment of ₹6506.23 to Flipkart,Shopping,Spend
₹1940.81 received via UPI from Myntra,Shopping,Receive
Paid ₹7263.74 to Water Dept,Utilities,Spend
Credited ₹2081.93 from Landlord,Rent,Receive
UPI payment of ₹9980.77 to Society,Rent,Spend
Credited ₹5617.16 from Flatmate,Rent,Receive
Paid ₹6294.73 to Flatmate,Rent,Spend
₹4123.06 received via UPI from Wipro,Paycheck,Receive
Debited ₹8979.07 at Flatmate,Rent,Spend
UPI payment of ₹277.53 to TCS,Paycheck,Spend
Debited ₹5183.76 at Flatmate,Rent,Spend
UPI payment of ₹5431.51 to Domino's,Restaurants,Spend
₹2996.14 received via UPI from Landlord,Rent,Receive
UPI payment of ₹8521.37 to Flatmate,Rent,Spend
Paid ₹9512.67 to Gas Agency,Utilities,Spend
Received ₹662.14 from Flatmate,Rent,Receive
₹3639.16 received via UPI from Flatmate,Rent,Receive
Paid ₹145.92 to Gas Agency,Utilities,Spend
Debited ₹183.17 at Water Dept,Utilities,Spend
Credited ₹6014.9 from Electric Board,Utilities,Receive
₹2101.76 received via UPI from Electric Board,Utilities,Receive
Received ₹1645.55 from Myntra,Shopping,Receive
₹6115.76 received via UPI from Wipro,Paycheck,Receive
Debited ₹4977.04 at Landlord,Rent,Spend
UPI payment of ₹3592.97 to Flatmate,Rent,Spend
Paid ₹5218.52 to Amazon,Shopping,Spend
UPI payment of ₹8842.48 to Flatmate,Rent,Spend
Paid ₹4345.76 to TCS,Paycheck,Spend
Received ₹1904.81 from Wipro,Paycheck,Receive
₹4721.83 received via UPI from Water Dept,Utilities,Receive
Credited ₹3768.75 from KFC,Restaurants,Receive
Received ₹6485.57 from Myntra,Shopping,Receive
₹1801.94 received via UPI from KFC,Restaurants,Receive
Received ₹788.54 from Landlord,Rent,Receive
Received ₹3594.35 from KFC,Restaurants,Receive
Debited ₹1307.03 at Water Dept,Utilities,Spend
UPI payment of ₹6331.29 to KFC,Restaurants,Spend
Received ₹2101.5 from Swiggy,Restaurants,Receive
Received ₹302.93 from Infosys,Paycheck,Receive
Credited ₹6774.46 from Swiggy,Restaurants,Receive
Credited ₹9700.6 from Society,Rent,Receive
Credited ₹971.09 from Landlord,Rent,Receive
UPI payment of ₹7000.13 to Gas Agency,Utilities,Spend
Received ₹6922.75 from Myntra,Shopping,Receive
₹9596.9 received via UPI from Gas Agency,Utilities,Receive
₹3105.28 received via UPI from Flatmate,Rent,Receive
Paid ₹6430.19 to Flipkart,Shopping,Spend
₹7251.84 received via UPI from Flatmate,Rent,Receive
UPI payment of ₹7067.42 to Swiggy,Restaurants,Spend
Received ₹435.21 from Electric Board,Utilities,Receive
Received ₹166.96 from Society,Rent,Receive
Paid ₹5670.8 to KFC,Restaurants,Spend
₹2464.59 received via UPI from Flipkart,Shopping,Receive
Debited ₹558.94 at Flipkart,Shopping,Spend
₹7491.59 received via UPI from Water Dept,Utilities,Receive
Credited ₹2633.68 from Domino's,Restaurants,Receive
Debited ₹9256.39 at Wipro,Paycheck,Spend
Paid ₹1771.72 to Society,Rent,Spend
Credited ₹7493.68 from Wipro,Paycheck,Receive
Debited ₹7066.77 at Infosys,Paycheck,Spend
UPI payment of ₹1507.68 to Electric Board,Utilities,Spend
Received ₹1010.31 from Amazon,Shopping,Receive
Debited ₹7783.87 at Society,Rent,Spend
Received ₹6286.29 from Landlord,Rent,Receive
UPI payment of ₹3162.81 to Swiggy,Restaurants,Spend
UPI payment of ₹1088.72 to Domino's,Restaurants,Spend
Paid ₹1018.33 to Domino's,Restaurants,Spend
₹5570.79 received via UPI from Flipkart,Shopping,Receive
Credited ₹8011.71 from Society,Rent,Receive
Received ₹3216.31 from TCS,Paycheck,Receive
₹8561.57 received via UPI from Flatmate,Rent,Receive
Received ₹4346.86 from Domino's,Restaurants,Receive
UPI payment of ₹5989.55 to Swiggy,Restaurants,Spend
Debited ₹2529.49 at Landlord,Rent,Spend
₹1864.77 received via UPI from Electric Board,Utilities,Receive
Debited ₹7943.26 at Society,Rent,Spend
Received ₹505.45 from Domino's,Restaurants,Receive
Received ₹9830.51 from Wipro,Paycheck,Receive
₹9699.04 received via UPI from Swiggy,Restaurants,Receive
Paid ₹1180.27 to Landlord,Rent,Spend
UPI payment of ₹5495.88 to Infosys,Paycheck,Spend
Paid ₹2899.24 to Swiggy,Restaurants,Spend
Paid ₹6236.97 to TCS,Paycheck,Spend
Credited ₹7809.79 from Amazon,Shopping,Receive
Received ₹9903.72 from Society,Rent,Receive
Received ₹3477.09 from Gas Agency,Utilities,Receive
UPI payment of ₹9995.97 to KFC,Restaurants,Spend
₹4553.17 received via UPI from Landlord,Rent,Receive
Credited ₹7437.32 from Water Dept,Utilities,Receive
Debited ₹6680.66 at Swiggy,Restaurants,Spend
₹813.89 received via UPI from Swiggy,Restaurants,Receive
UPI payment of ₹1509.0 to KFC,Restaurants,Spend
Paid ₹2131.02 to Infosys,Paycheck,Spend
Paid ₹2277.63 to Society,Rent,Spend
₹3631.99 received via UPI from Myntra,Shopping,Receive
Received ₹4276.18 from Swiggy,Restaurants,Receive
Debited ₹9336.63 at Landlord,Rent,Spend
Received ₹6015.68 from Wipro,Paycheck,Receive
Credited ₹2668.38 from Electric Board,Utilities,Receive
UPI payment of ₹3839.17 to Flatmate,Rent,Spend
Paid ₹9650.45 to Infosys,Paycheck,Spend
Received ₹5585.9 from Wipro,Paycheck,Receive
₹8672.27 received via UPI from KFC,Restaurants,Receive
₹6866.92 received via UPI from Amazon,Shopping,Receive
Paid ₹8187.34 to Electric Board,Utilities,Spend
Received ₹5423.3 from Myntra,Shopping,Receive
₹2211.27 received via UPI from Swiggy,Restaurants,Receive
Debited ₹7598.54 at Domino's,Restaurants,Spend
Debited ₹2945.63 at Domino's,Restaurants,Spend
Credited ₹2582.55 from Electric Board,Utilities,Receive
Debited ₹1680.65 at Flatmate,Rent,Spend
Received ₹7483.66 from Flatmate,Rent,Receive
Paid ₹8149.75 to Gas Agency,Utilities,Spend
Received ₹8644.68 from Flatmate,Rent,Receive
Paid ₹2774.42 to Electric Board,Utilities,Spend
Paid ₹8867.79 to Swiggy,Restaurants,Spend
Debited ₹7366.06 at Myntra,Shopping,Spend
Received ₹4399.94 from Infosys,Paycheck,Receive
Received ₹6284.89 from Swiggy,Restaurants,Receive
Debited ₹4614.01 at TCS,Paycheck,Spend
Received ₹1986.16 from Myntra,Shopping,Receive
Paid ₹8191.12 to Flatmate,Rent,Spend
Credited ₹8984.66 from Myntra,Shopping,Receive
₹7259.49 received via UPI from Flipkart,Shopping,Receive
Received ₹8036.71 from Amazon,Shopping,Receive
UPI payment of ₹5508.0 to Gas Agency,Utilities,Spend
Debited ₹6232.51 at Flipkart,Shopping,Spend
₹1303.08 received via UPI from Flipkart,Shopping,Receive
Debited ₹6181.06 at Society,Rent,Spend
Received ₹768.6 from Amazon,Shopping,Receive
Received ₹8061.77 from Gas Agency,Utilities,Receive
₹8837.26 received via UPI from Water Dept,Utilities,Receive
Paid ₹1634.78 to Wipro,Paycheck,Spend
Paid ₹3059.67 to Amazon,Shopping,Spend
UPI payment of ₹2832.98 to Landlord,Rent,Spend
Received ₹9502.98 from Electric Board,Utilities,Receive
Debited ₹2690.36 at Infosys,Paycheck,Spend
Credited ₹7625.54 from Infosys,Paycheck,Receive
Debited ₹6304.01 at TCS,Paycheck,Spend
Debited ₹2112.63 at Infosys,Paycheck,Spend
UPI payment of ₹6525.7 to Wipro,Paycheck,Spend
Credited ₹9905.14 from Flatmate,Rent,Receive
UPI payment of ₹7290.04 to Wipro,Paycheck,Spend
Credited ₹7096.81 from Flipkart,Shopping,Receive
₹3095.99 received via UPI from KFC,Restaurants,Receive
Paid ₹9442.5 to Domino's,Restaurants,Spend
UPI payment of ₹4926.84 to KFC,Restaurants,Spend
Paid ₹4292.19 to Gas Agency,Utilities,Spend
₹1408.67 received via UPI from Society,Rent,Receive
Credited ₹1426.47 from Society,Rent,Receive
Debited ₹857.2 at Swiggy,Restaurants,Spend
Debited ₹140.12 at Flipkart,Shopping,Spend
UPI payment of ₹784.59 to Flipkart,Shopping,Spend
Received ₹9554.02 from Landlord,Rent,Receive
₹349.9 received via UPI from Landlord,Rent,Receive
Credited ₹7751.86 from Flatmate,Rent,Receive
Paid ₹8885.85 to Domino's,Restaurants,Spend
Credited ₹6061.09 from Water Dept,Utilities,Receive
Paid ₹8387.52 to Flatmate,Rent,Spend
Received ₹2221.71 from Swiggy,Restaurants,Receive
Paid ₹2062.9 to Landlord,Rent,Spend
Debited ₹874.93 at Flipkart,Shopping,Spend
Credited ₹256.85 from Amazon,Shopping,Receive
Received ₹3478.19 from KFC,Restaurants,Receive
Received ₹7611.11 from Wipro,Paycheck,Receive
Paid ₹4138.71 to Infosys,Paycheck,Spend
Credited ₹6374.93 from Swiggy,Restaurants,Receive
₹5784.84 received via UPI from Landlord,Rent,Receive
UPI payment of ₹6313.71 to Infosys,Paycheck,Spend
₹4421.9 received via UPI from TCS,Paycheck,Receive
₹7917.2 received via UPI from Gas Agency,Utilities,Receive
Credited ₹6303.48 from Swiggy,Restaurants,Receive
Paid ₹6080.18 to Domino's,Restaurants,Spend
₹627.82 received via UPI from TCS,Paycheck,Receive
Paid ₹7190.07 to Amazon,Shopping,Spend
UPI payment of ₹9389.83 to Infosys,Paycheck,Spend
₹3593.02 received via UPI from Amazon,Shopping,Receive
UPI payment of ₹1768.69 to KFC,Restaurants,Spend
Credited ₹5508.83 from Swiggy,Restaurants,Receive
UPI payment of ₹2888.91 to Gas Agency,Utilities,Spend
Credited ₹9150.43 from Infosys,Paycheck,Receive
UPI payment of ₹4470.83 to Domino's,Restaurants,Spend
Received ₹6076.36 from Society,Rent,Receive
UPI payment of ₹2710.9 to Water Dept,Utilities,Spend
Paid ₹8515.43 to Landlord,Rent,Spend
Debited ₹9951.81 at Electric Board,Utilities,Spend
UPI payment of ₹9423.99 to Wipro,Paycheck,Spend
Credited ₹1043.78 from Electric Board,Utilities,Receive
Received ₹4267.95 from KFC,Restaurants,Receive
₹6690.36 received via UPI from Flatmate,Rent,Receive
Debited ₹9770.03 at Water Dept,Utilities,Spend
Received ₹1161.34 from KFC,Restaurants,Receive
₹9637.09 received via UPI from Wipro,Paycheck,Receive
UPI payment of ₹9808.63 to Infosys,Paycheck,Spend
Received ₹8148.05 from Wipro,Paycheck,Receive
Debited ₹3116.42 at Domino's,Restaurants,Spend
₹8660.6 received via UPI from Myntra,Shopping,Receive
₹6163.79 received via UPI from Gas Agency,Utilities,Receive
₹3102.73 received via UPI from Society,Rent,Receive
Received ₹2092.47 from Wipro,Paycheck,Receive
Credited ₹3725.74 from Infosys,Paycheck,Receive
₹9135.28 received via UPI from Myntra,Shopping,Receive
Paid ₹1377.8 to Gas Agency,Utilities,Spend
Paid ₹162.15 to Domino's,Restaurants,Spend
Paid ₹7759.72 to Electric Board,Utilities,Spend
UPI payment of ₹2567.73 to Electric Board,Utilities,Spend
Paid ₹9878.85 to Domino's,Restaurants,Spend
Debited ₹8978.08 at Landlord,Rent,Spend
Received ₹6776.19 from Myntra,Shopping,Receive
Paid ₹4149.63 to TCS,Paycheck,Spend
UPI payment of ₹6389.54 to Amazon,Shopping,Spend
Debited ₹6775.36 at Domino's,Restaurants,Spend
Paid ₹2402.73 to Gas Agency,Utilities,Spend
Received ₹6181.06 from Water Dept,Utilities,Receive
Credited ₹3397.78 from KFC,Restaurants,Receive
₹1264.06 received via UPI from Landlord,Rent,Receive
Debited ₹884.55 at Wipro,Paycheck,Spend
UPI payment of ₹6312.33 to Flatmate,Rent,Spend
₹7725.78 received via UPI from Gas Agency,Utilities,Receive
Debited ₹5365.11 at Gas Agency,Utilities,Spend
Received ₹8151.33 from Electric Board,Utilities,Receive
Received ₹1512.37 from Electric Board,Utilities,Receive
Credited ₹4631.16 from Gas Agency,Utilities,Receive
Credited ₹8104.04 from Amazon,Shopping,Receive
₹7469.8 received via UPI from Landlord,Rent,Receive
UPI payment of ₹6861.15 to Society,Rent,Spend
UPI payment of ₹5173.09 to Swiggy,Restaurants,Spend
Paid ₹3860.79 to Amazon,Shopping,Spend
₹6815.55 received via UPI from Infosys,Paycheck,Receive
Received ₹6120.97 from TCS,Paycheck,Receive
₹6810.69 received via UPI from Electric Board,Utilities,Receive
Paid ₹1214.66 to Flatmate,Rent,Spend
Debited ₹6050.4 at Society,Rent,Spend
₹3722.44 received via UPI from Flipkart,Shopping,Receive
Received ₹8430.99 from Amazon,Shopping,Receive
Credited ₹3506.97 from Flipkart,Shopping,Receive
UPI payment of ₹3497.74 to Water Dept,Utilities,Spend
Credited ₹6815.29 from Wipro,Paycheck,Receive
Paid ₹3622.37 to Amazon,Shopping,Spend
Paid ₹7113.85 to Myntra,Shopping,Spend
UPI payment of ₹8227.04 to Infosys,Paycheck,Spend
Paid ₹1906.83 to Swiggy,Restaurants,Spend
₹5814.96 received via UPI from Flipkart,Shopping,Receive
Debited ₹5980.95 at Gas Agency,Utilities,Spend
₹8554.77 received via UPI from Society,Rent,Receive
UPI payment of ₹7552.22 to Myntra,Shopping,Spend
UPI payment of ₹468.17 to Flatmate,Rent,Spend
Paid ₹404.81 to Myntra,Shopping,Spend
Credited ₹9332.2 from TCS,Paycheck,Receive
Debited ₹1266.76 at TCS,Paycheck,Spend
Credited ₹4635.26 from Infosys,Paycheck,Receive
UPI payment of ₹6488.17 to Society,Rent,Spend
₹2900.44 received via UPI from Water Dept,Utilities,Receive
UPI payment of ₹9895.24 to Myntra,Shopping,Spend
UPI payment of ₹5639.5 to TCS,Paycheck,Spend
Received ₹5944.57 from Domino's,Restaurants,Receive
Paid ₹7249.64 to Society,Rent,Spend
₹6027.46 received via UPI from Myntra,Shopping,Receive
Paid ₹182.41 to Landlord,Rent,Spend
Debited ₹8901.92 at Electric Board,Utilities,Spend
UPI payment of ₹6762.81 to TCS,Paycheck,Spend
Paid ₹9974.42 to Wipro,Paycheck,Spend
Received ₹9662.69 from Gas Agency,Utilities,Receive
Debited ₹1078.32 at Landlord,Rent,Spend
Paid ₹4168.96 to Water Dept,Utilities,Spend
Paid ₹3689.08 to Society,Rent,Spend
Received ₹4458.47 from Gas Agency,Utilities,Receive
₹679.77 received via UPI from Flipkart,Shopping,Receive
Paid ₹3192.9 to Gas Agency,Utilities,Spend
₹260.04 received via UPI from KFC,Restaurants,Receive
Debited ₹8135.21 at TCS,Paycheck,Spend
Debited ₹4853.58 at Myntra,Shopping,Spend
₹830.55 received via UPI from Amazon,Shopping,Receive
UPI payment of ₹3502.26 to Flipkart,Shopping,Spend
Debited ₹3687.67 at Landlord,Rent,Spend
Received ₹2396.43 from Wipro,Paycheck,Receive
Credited ₹3591.4 from Domino's,Restaurants,Receive
Received ₹7854.78 from Domino's,Restaurants,Receive
Paid ₹2280.72 to Society,Rent,Spend
UPI payment of ₹5604.4 to Myntra,Shopping,Spend
Received ₹531.99 from Gas Agency,Utilities,Receive
Received ₹3846.12 from Flatmate,Rent,Receive
Debited ₹1871.86 at Domino's,Restaurants,Spend
UPI payment of ₹4387.7 to Swiggy,Restaurants,Spend
Received ₹9044.74 from Electric Board,Utilities,Receive
₹7946.89 received via UPI from Myntra,Shopping,Receive
Debited ₹8754.76 at Swiggy,Restaurants,Spend
Paid ₹6011.32 to Electric Board,Utilities,Spend
Paid ₹1808.52 to Amazon,Shopping,Spend
