Description,Category,Finance Type
Paid ₹5477.53 to Amazon,Shopping,Spend
Paid ₹7967.06 to TCS,Paycheck,Spend
Received ₹5800.46 from Gas Agency,Utilities,Receive
Paid ₹7736.8 to Water Dept,Utilities,Spend
Debited ₹4348.21 at Myntra,Shopping,Spend
Debited ₹1591.21 at Wipro,Paycheck,Spend
Credited ₹1136.33 from Domino's,Restaurants,Receive
Received ₹2193.57 from Infosys,Paycheck,Receive
Paid ₹1846.33 to Domino's,Restaurants,Spend
Paid ₹1818.55 to Wipro,Paycheck,Spend
Received ₹8431.77 from Flipkart,Shopping,Receive
Debited ₹3458.37 at Society,Rent,Spend
Debited ₹3313.98 at Water Dept,Utilities,Spend
₹3722.48 received via UPI from Flipkart,Shopping,Receive
Paid ₹1505.73 to Domino's,Restaurants,Spend
Credited ₹7952.1 from Flatmate,Rent,Receive
Credited ₹5365.74 from Electric Board,Utilities,Receive
Paid ₹9526.6 to Infosys,Paycheck,Spend
₹1394.58 received via UPI from Gas Agency,Utilities,Receive
Credited ₹732.35 from Swiggy,Restaurants,Receive
₹2698.65 received via UPI from Amazon,Shopping,Receive
Paid ₹1117.51 to Wipro,Paycheck,Spend
UPI payment of ₹1505.14 to Domino's,Restaurants,Spend
Debited ₹6642.84 at Flatmate,Rent,Spend
Paid ₹5520.06 to KFC,Restaurants,Spend
Credited ₹4345.38 from Domino's,Restaurants,Receive
UPI payment of ₹1041.66 to Swiggy,Restaurants,Spend
Debited ₹2684.79 at Amazon,Shopping,Spend
Debited ₹3985.38 at Amazon,Shopping,Spend
Received ₹1184.37 from Amazon,Shopping,Receive
Credited ₹4452.47 from Amazon,Shopping,Receive
Paid ₹7866.07 to Myntra,Shopping,Spend
Debited ₹5717.75 at Society,Rent,Spend
Credited ₹6196.76 from Electric Board,Utilities,Receive
Debited ₹6668.81 at Wipro,Paycheck,Spend
Paid ₹5356.78 to Gas Agency,Utilities,Spend
Debited ₹1109.27 at Amazon,Shopping,Spend
Received ₹4291.77 from Swiggy,Restaurants,Receive
Credited ₹4349.25 from TCS,Paycheck,Receive
₹2168.04 received via UPI from Flipkart,Shopping,Receive
Received ₹3208.54 from Society,Rent,Receive
Paid ₹8253.42 to Landlord,Rent,Spend
₹2749.54 received via UPI from Water Dept,Utilities,Receive
₹4670.52 received via UPI from Gas Agency,Utilities,Receive
Debited ₹2518.31 at Wipro,Paycheck,Spend
UPI payment of ₹6787.23 to Wipro,Paycheck,Spend
Debited ₹3422.77 at Amazon,Shopping,Spend
₹1467.62 received via UPI from KFC,Restaurants,Receive
Credited ₹571.79 from Flatmate,Rent,Receive
UPI payment of ₹7706.72 to Flipkart,Shopping,Spend
Paid ₹2127.77 to Myntra,Shopping,Spend
₹7069.45 received via UPI from Flipkart,Shopping,Receive
Received ₹3241.79 from Amazon,Shopping,Receive
Received ₹3673.53 from TCS,Paycheck,Receive
Received ₹2333.45 from Water Dept,Utilities,Receive
₹116.99 received via UPI from Flipkart,Shopping,Receive
Debited ₹7597.57 at TCS,Paycheck,Spend
₹5301.43 received via UPI from Infosys,Paycheck,Receive
Debited ₹9020.78 at Wipro,Paycheck,Spend
₹3330.3 received via UPI from Domino's,Restaurants,Receive
UPI payment of ₹3074.38 to Wipro,Paycheck,Spend
Received ₹8701.81 from Gas Agency,Utilities,Receive
UPI payment of ₹122.17 to Myntra,Shopping,Spend
Credited ₹8346.39 from Society,Rent,Receive
₹7770.83 received via UPI from Electric Board,Utilities,Receive
UPI payment of ₹635.31 to KFC,Restaurants,Spend
Debited ₹3560.05 at Wipro,Paycheck,Spend
₹7440.19 received via UPI from Water Dept,Utilities,Receive
₹8522.29 received via UPI from Wipro,Paycheck,Receive
₹3800.78 received via UPI from Domino's,Restaurants,Receive
₹4855.3 received via UPI from Flipkart,Shopping,Receive
Debited ₹9396.46 at Domino's,Restaurants,Spend
Credited ₹8061.91 from Domino's,Restaurants,Receive
₹5251.42 received via UPI from Amazon,Shopping,Receive
₹9605.13 received via UPI from Myntra,Shopping,Receive
UPI payment of ₹1281.37 to Wipro,Paycheck,Spend
Debited ₹7351.74 at Wipro,Paycheck,Spend
Debited ₹5862.75 at Myntra,Shopping,Spend
₹5390.05 received via UPI from KFC,Restaurants,Receive
UPI payment of ₹2141.89 to Water Dept,Utilities,Spend
₹6172.76 received via UPI from Landlord,Rent,Receive
Debited ₹8518.93 at Water Dept,Utilities,Spend
Debited ₹1898.17 at KFC,Restaurants,Spend
Credited ₹8507.58 from Swiggy,Restaurants,Receive
₹4695.66 received via UPI from Flatmate,Rent,Receive
₹3204.53 received via UPI from Myntra,Shopping,Receive
Debited ₹9428.58 at Water Dept,Utilities,Spend
₹8262.02 received via UPI from Myntra,Shopping,Receive
Credited ₹7012.58 from Swiggy,Restaurants,Receive
₹582.93 received via UPI from TCS,Paycheck,Receive
UPI payment of ₹671.97 to Wipro,Paycheck,Spend
UPI payment of ₹3422.61 to Flipkart,Shopping,Spend
Debited ₹5656.06 at Landlord,Rent,Spend
UPI payment of ₹9750.29 to KFC,Restaurants,Spend
Debited ₹9236.25 at Electric Board,Utilities,Spend
Credited ₹6569.22 from KFC,Restaurants,Receive
UPI payment of ₹1551.26 to KFC,Restaurants,Spend
Paid ₹5868.39 to Infosys,Paycheck,Spend
Credited ₹1124.15 from Swiggy,Restaurants,Receive
Debited ₹6835.79 at Infosys,Paycheck,Spend
Paid ₹3666.32 to Electric Board,Utilities,Spend
Paid ₹9907.99 to Myntra,Shopping,Spend
UPI payment of ₹1363.55 to Water Dept,Utilities,Spend
Received ₹5832.53 from Gas Agency,Utilities,Receive
UPI payment of ₹5055.21 to KFC,Restaurants,Spend
Debited ₹9421.32 at Myntra,Shopping,Spend
Credited ₹4144.23 from Society,Rent,Receive
Paid ₹7307.42 to Swiggy,Restaurants,Spend
Credited ₹9776.67 from Gas Agency,Utilities,Receive
UPI payment of ₹3241.15 to Flipkart,Shopping,Spend
₹8576.59 received via UPI from Domino's,Restaurants,Receive
Paid ₹2997.64 to Wipro,Paycheck,Spend
Paid ₹3268.94 to Swiggy,Restaurants,Spend
Debited ₹7727.7 at Wipro,Paycheck,Spend
Debited ₹6739.06 at Water Dept,Utilities,Spend
Credited ₹1496.7 from Wipro,Paycheck,Receive
Paid ₹4548.52 to Infosys,Paycheck,Spend
₹9809.81 received via UPI from Water Dept,Utilities,Receive
₹8415.61 received via UPI from Flipkart,Shopping,Receive
Received ₹2189.89 from Flatmate,Rent,Receive
Paid ₹9844.24 to Wipro,Paycheck,Spend
₹4039.25 received via UPI from Swiggy,Restaurants,Receive
Received ₹4394.81 from Domino's,Restaurants,Receive
Received ₹577.61 from Landlord,Rent,Receive
Credited ₹846.97 from Water Dept,Utilities,Receive
Received ₹5124.13 from Wipro,Paycheck,Receive
Received ₹8279.14 from Myntra,Shopping,Receive
Debited ₹998.9 at Gas Agency,Utilities,Spend
UPI payment of ₹4897.78 to Wipro,Paycheck,Spend
Paid ₹2241.66 to Landlord,Rent,Spend
Debited ₹660.1 at Swiggy,Restaurants,Spend
Credited ₹8169.49 from TCS,Paycheck,Receive
Received ₹3524.88 from Wipro,Paycheck,Receive
Debited ₹2090.07 at Gas Agency,Utilities,Spend
Credited ₹6262.32 from Landlord,Rent,Receive
₹9131.83 received via UPI from Electric Board,Utilities,Receive
Debited ₹7434.57 at Wipro,Paycheck,Spend
Credited ₹5953.98 from TCS,Paycheck,Receive
Received ₹5639.24 from Gas Agency,Utilities,Receive
Paid ₹3125.41 to Infosys,Paycheck,Spend
Received ₹1666.29 from TCS,Paycheck,Receive
Credited ₹9624.07 from Society,Rent,Receive
Paid ₹9090.73 to Swiggy,Restaurants,Spend
Credited ₹1718.01 from Electric Board,Utilities,Receive
Debited ₹3552.74 at Wipro,Paycheck,Spend
Debited ₹898.11 at Flipkart,Shopping,Spend
Received ₹2345.8 from TCS,Paycheck,Receive
Debited ₹9797.58 at Flatmate,Rent,Spend
Received ₹7874.91 from Swiggy,Restaurants,Receive
Debited ₹6713.93 at TCS,Paycheck,Spend
₹8222.94 received via UPI from Infosys,Paycheck,Receive
UPI payment of ₹4856.41 to Domino's,Restaurants,Spend
Received ₹9506.91 from TCS,Paycheck,Receive
UPI payment of ₹2499.8 to Domino's,Restaurants,Spend
Received ₹5678.13 from Gas Agency,Utilities,Receive
Debited ₹5426.6 at Swiggy,Restaurants,Spend
Paid ₹7923.81 to Myntra,Shopping,Spend
Debited ₹5655.9 at Amazon,Shopping,Spend
Paid ₹1093.92 to Landlord,Rent,Spend
₹8334.98 received via UPI from TCS,Paycheck,Receive
Paid ₹4071.58 to Flipkart,Shopping,Spend
Received ₹4132.1 from Amazon,Shopping,Receive
Debited ₹7598.28 at Infosys,Paycheck,Spend
Received ₹2449.93 from Infosys,Paycheck,Receive
₹3052.78 received via UPI from KFC,Restaurants,Receive
Debited ₹6519.24 at Amazon,Shopping,Spend
₹6199.4 received via UPI from Water Dept,Utilities,Receive
₹7239.26 received via UPI from Myntra,Shopping,Receive
₹5280.4 received via UPI from Amazon,Shopping,Receive
Received ₹4043.61 from Domino's,Restaurants,Receive
Received ₹4677.91 from Water Dept,Utilities,Receive
Debited ₹8985.05 at Flipkart,Shopping,Spend
₹9800.06 received via UPI from Electric Board,Utilities,Receive
UPI payment of ₹3701.4 to Infosys,Paycheck,Spend
₹8254.59 received via UPI from Amazon,Shopping,Receive
₹7761.13 received via UPI from Water Dept,Utilities,Receive
₹3420.78 received via UPI from TCS,Paycheck,Receive
Credited ₹1089.35 from TCS,Paycheck,Receive
Credited ₹5135.91 from TCS,Paycheck,Receive
₹6055.52 received via UPI from Domino's,Restaurants,Receive
Debited ₹9745.89 at Myntra,Shopping,Spend
Received ₹2379.54 from Swiggy,Restaurants,Receive
UPI payment of ₹9322.08 to Electric Board,Utilities,Spend
₹5508.38 received via UPI from Society,Rent,Receive
₹4819.73 received via UPI from Electric Board,Utilities,Receive
Debited ₹9550.1 at Wipro,Paycheck,Spend
UPI payment of ₹9266.4 to TCS,Paycheck,Spend
Paid ₹3310.07 to Society,Rent,Spend
Debited ₹7846.82 at KFC,Restaurants,Spend
Credited ₹9934.73 from Electric Board,Utilities,Receive
Debited ₹6448.88 at Infosys,Paycheck,Spend
Received ₹9764.94 from Gas Agency,Utilities,Receive
Debited ₹7494.33 at Flipkart,Shopping,Spend
₹3647.41 received via UPI from Flipkart,Shopping,Receive
Credited ₹2299.22 from Gas Agency,Utilities,Receive
UPI payment of ₹2341.8 to KFC,Restaurants,Spend
Credited ₹3566.43 from Gas Agency,Utilities,Receive
Received ₹4472.16 from Gas Agency,Utilities,Receive
Credited ₹1505.09 from Flatmate,Rent,Receive
₹7017.85 received via UPI from TCS,Paycheck,Receive
₹4081.69 received via UPI from Gas Agency,Utilities,Receive
Debited ₹4154.39 at Wipro,Paycheck,Spend
Paid ₹836.15 to Water Dept,Utilities,Spend
Paid ₹181.55 to KFC,Restaurants,Spend
Debited ₹2319.49 at Flipkart,Shopping,Spend
Debited ₹8025.28 at KFC,Restaurants,Spend
Paid ₹1102.05 to Electric Board,Utilities,Spend
₹9058.75 received via UPI from Swiggy,Restaurants,Receive
Received ₹7683.4 from Swiggy,Restaurants,Receive
UPI payment of ₹2236.06 to Society,Rent,Spend
UPI payment of ₹5682.58 to KFC,Restaurants,Spend
Credited ₹3473.18 from TCS,Paycheck,Receive
₹4449.45 received via UPI from Flatmate,Rent,Receive
Paid ₹8971.48 to Domino's,Restaurants,Spend
Paid ₹4862.68 to Flatmate,Rent,Spend
UPI payment of ₹3531.13 to Gas Agency,Utilities,Spend
₹3989.44 received via UPI from Society,Rent,Receive
₹112.44 received via UPI from Flatmate,Rent,Receive
Received ₹9173.35 from Domino's,Restaurants,Receive
Paid ₹9285.03 to Swiggy,Restaurants,Spend
Credited ₹624.19 from Swiggy,Restaurants,Receive
Paid ₹7287.93 to Swiggy,Restaurants,Spend
Paid ₹625.41 to Gas Agency,Utilities,Spend
Debited ₹4001.72 at Society,Rent,Spend
Credited ₹3670.09 from Society,Rent,Receive
UPI payment of ₹630.05 to Infosys,Paycheck,Spend
UPI payment of ₹2002.71 to Society,Rent,Spend
Paid ₹4945.57 to Electric Board,Utilities,Spend
Received ₹7188.38 from Myntra,Shopping,Receive
Received ₹9560.31 from TCS,Paycheck,Receive
Received ₹1599.08 from Water Dept,Utilities,Receive
Paid ₹4343.29 to Society,Rent,Spend
Paid ₹5462.97 to Myntra,Shopping,Spend
UPI payment of ₹5450.66 to KFC,Restaurants,Spend
Received ₹951.66 from Domino's,Restaurants,Receive
₹624.06 received via UPI from Electric Board,Utilities,Receive
Received ₹5354.0 from Gas Agency,Utilities,Receive
₹891.68 received via UPI from Electric Board,Utilities,Receive
Credited ₹8596.76 from TCS,Paycheck,Receive
Debited ₹3853.52 at Water Dept,Utilities,Spend
Paid ₹5211.55 to Swiggy,Restaurants,Spend
Received ₹5169.48 from Myntra,Shopping,Receive
Credited ₹2979.09 from Domino's,Restaurants,Receive
Debited ₹3009.96 at Electric Board,Utilities,Spend
Debited ₹9198.91 at Gas Agency,Utilities,Spend
Received ₹7952.69 from Water Dept,Utilities,Receive
Paid ₹756.93 to Water Dept,Utilities,Spend
Paid ₹942.39 to Water Dept,Utilities,Spend
Paid ₹9845.34 to TCS,Paycheck,Spend
Debited ₹1673.75 at Domino's,Restaurants,Spend
Received ₹1102.26 from Myntra,Shopping,Receive
UPI payment of ₹7154.91 to Flatmate,Rent,Spend
Debited ₹1613.68 at Domino's,Restaurants,Spend
Credited ₹3398.14 from Amazon,Shopping,Receive
Debited ₹3385.42 at KFC,Restaurants,Spend
UPI payment of ₹1515.97 to Wipro,Paycheck,Spend
₹4240.55 received via UPI from Landlord,Rent,Receive
Paid ₹9641.42 to Myntra,Shopping,Spend
Paid ₹2405.39 to Infosys,Paycheck,Spend
Paid ₹6569.54 to Electric Board,Utilities,Spend
Credited ₹6619.79 from Electric Board,Utilities,Receive
Received ₹6840.78 from Infosys,Paycheck,Receive
Paid ₹7578.25 to Wipro,Paycheck,Spend
Received ₹4634.43 from Wipro,Paycheck,Receive
UPI payment of ₹5677.54 to Landlord,Rent,Spend
Received ₹6149.79 from KFC,Restaurants,Receive
₹4112.85 received via UPI from Amazon,Shopping,Receive
Debited ₹6664.93 at Wipro,Paycheck,Spend
₹3353.01 received via UPI from Electric Board,Utilities,Receive
Paid ₹614.15 to Domino's,Restaurants,Spend
Received ₹501.15 from TCS,Paycheck,Receive
Credited ₹4669.93 from Infosys,Paycheck,Receive
Credited ₹3713.0 from Gas Agency,Utilities,Receive
Debited ₹1124.29 at Wipro,Paycheck,Spend
Paid ₹8642.58 to Swiggy,Restaurants,Spend
Received ₹2611.87 from KFC,Restaurants,Receive
Debited ₹8648.85 at Flipkart,Shopping,Spend
Received ₹166.79 from Myntra,Shopping,Receive
Debited ₹7436.12 at TCS,Paycheck,Spend
Debited ₹6606.37 at Infosys,Paycheck,Spend
UPI payment of ₹6385.85 to Swiggy,Restaurants,Spend
Debited ₹2048.52 at Flatmate,Rent,Spend
Paid ₹6906.63 to Water Dept,Utilities,Spend
UPI payment of ₹2287.09 to Myntra,Shopping,Spend
₹6753.97 received via UPI from Wipro,Paycheck,Receive
Credited ₹9115.83 from Domino's,Restaurants,Receive
Paid ₹6430.66 to Landlord,Rent,Spend
UPI payment of ₹8222.89 to Infosys,Paycheck,Spend
UPI payment of ₹3228.55 to Electric Board,Utilities,Spend
Received ₹602.26 from KFC,Restaurants,Receive
₹4271.79 received via UPI from Swiggy,Restaurants,Receive
Received ₹1289.66 from Water Dept,Utilities,Receive
Debited ₹1378.31 at Water Dept,Utilities,Spend
UPI payment of ₹7183.19 to Wipro,Paycheck,Spend
UPI payment of ₹6283.66 to Society,Rent,Spend
Credited ₹8942.04 from Flatmate,Rent,Receive
Paid ₹3905.74 to Amazon,Shopping,Spend
Paid ₹8566.28 to Society,Rent,Spend
UPI payment of ₹7997.82 to TCS,Paycheck,Spend
Paid ₹6374.52 to Flipkart,Shopping,Spend
Paid ₹7045.89 to Water Dept,Utilities,Spend
Credited ₹2372.6 from Society,Rent,Receive
Credited ₹5728.15 from Wipro,Paycheck,Receive
UPI payment of ₹2787.08 to Landlord,Rent,Spend
Debited ₹3107.75 at Society,Rent,Spend
UPI payment of ₹7597.54 to Infosys,Paycheck,Spend
Received ₹1755.27 from Swiggy,Restaurants,Receive
Debited ₹5499.8 at Landlord,Rent,Spend
Paid ₹6073.16 to TCS,Paycheck,Spend
Received ₹1091.1 from Wipro,Paycheck,Receive
Credited ₹2169.99 from Gas Agency,Utilities,Receive
Debited ₹8480.31 at Myntra,Shopping,Spend
Paid ₹8116.98 to Gas Agency,Utilities,Spend
Received ₹6625.21 from Domino's,Restaurants,Receive
₹5555.29 received via UPI from Amazon,Shopping,Receive
Credited ₹5727.63 from Domino's,Restaurants,Receive
Paid ₹8229.67 to TCS,Paycheck,Spend
Debited ₹3958.1 at TCS,Paycheck,Spend
Credited ₹561.24 from Swiggy,Restaurants,Receive
Paid ₹887.27 to Swiggy,Restaurants,Spend
Debited ₹752.88 at Society,Rent,Spend
₹5710.21 received via UPI from Domino's,Restaurants,Receive
₹2434.96 received via UPI from Electric Board,Utilities,Receive
UPI payment of ₹4565.26 to Amazon,Shopping,Spend
Paid ₹8043.62 to KFC,Restaurants,Spend
Paid ₹6291.45 to Myntra,Shopping,Spend
Debited ₹7335.41 at Amazon,Shopping,Spend
₹7108.81 received via UPI from Amazon,Shopping,Receive
Debited ₹8901.26 at Electric Board,Utilities,Spend
Credited ₹4454.63 from TCS,Paycheck,Receive
UPI payment of ₹3545.71 to Flipkart,Shopping,Spend
Credited ₹5004.37 from Myntra,Shopping,Receive
Debited ₹7826.54 at Landlord,Rent,Spend
Paid ₹2026.42 to Domino's,Restaurants,Spend
Debited ₹3268.78 at Flipkart,Shopping,Spend
Received ₹8839.42 from Landlord,Rent,Receive
₹8428.41 received via UPI from Water Dept,Utilities,Receive
Credited ₹7298.39 from Water Dept,Utilities,Receive
UPI payment of ₹2764.72 to TCS,Paycheck,Spend
Paid ₹4921.27 to Swiggy,Restaurants,Spend
Paid ₹8722.25 to Myntra,Shopping,Spend
UPI payment of ₹7535.44 to Amazon,Shopping,Spend
Credited ₹2609.4 from Society,Rent,Receive
UPI payment of ₹4012.19 to Society,Rent,Spend
Debited ₹1090.05 at Electric Board,Utilities,Spend
Debited ₹9502.7 at TCS,Paycheck,Spend
UPI payment of ₹1609.62 to Gas Agency,Utilities,Spend
Debited ₹9107.47 at Electric Board,Utilities,Spend
Debited ₹1311.62 at Swiggy,Restaurants,Spend
₹6125.46 received via UPI from Flatmate,Rent,Receive
UPI payment of ₹8242.78 to Domino's,Restaurants,Spend
Paid ₹9596.47 to Landlord,Rent,Spend
₹1205.09 received via UPI from Domino's,Restaurants,Receive
Received ₹4362.82 from Myntra,Shopping,Receive
₹6657.56 received via UPI from TCS,Paycheck,Receive
UPI payment of ₹9102.81 to Swiggy,Restaurants,Spend
Credited ₹752.33 from KFC,Restaurants,Receive
Received ₹6829.78 from Flatmate,Rent,Receive
Debited ₹7791.16 at TCS,Paycheck,Spend
Received ₹5367.4 from Electric Board,Utilities,Receive
Credited ₹3404.85 from Electric Board,Utilities,Receive
Received ₹409.92 from Gas Agency,Utilities,Receive
UPI payment of ₹7907.35 to Water Dept,Utilities,Spend
UPI payment of ₹3771.39 to Electric Board,Utilities,Spend
₹8903.45 received via UPI from Electric Board,Utilities,Receive
₹7213.79 received via UPI from Landlord,Rent,Receive
Debited ₹6017.9 at Flatmate,Rent,Spend
₹4095.52 received via UPI from Swiggy,Restaurants,Receive
UPI payment of ₹6929.76 to Landlord,Rent,Spend
Debited ₹221.61 at KFC,Restaurants,Spend
Credited ₹8239.27 from Infosys,Paycheck,Receive
Credited ₹9745.62 from Landlord,Rent,Receive
UPI payment of ₹7789.27 to TCS,Paycheck,Spend
UPI payment of ₹5193.03 to Flatmate,Rent,Spend
UPI payment of ₹2868.89 to Gas Agency,Utilities,Spend
Paid ₹8662.02 to Landlord,Rent,Spend
